run_id,topic,model_key,provider,model,condition,rounds,status,event_expected,event_actual,output_dir,started_at,ended_at,notes
football-gemma-baseline-control-r20,football,gemma,deepinfra,google/gemma-3-27b-it,baseline-control,20,completed_artifact_evidence,0,0,runs\s3_cross_topic\football\gemma\baseline-control-r20,2026-06-18T06:59:50+00:00,2026-06-18T07:08:21+00:00,artifact_evidence posts=7 traces=31
football-gemma-signal-mid-r20,football,gemma,deepinfra,google/gemma-3-27b-it,signal-mid,20,failed,1,,runs\s3_cross_topic\football\gemma\signal-mid-r20,2026-06-18T07:17:04+00:00,2026-06-18T07:47:04+00:00,exit_code=120
football-gemma-signal-mid-r20,football,gemma,deepinfra,google/gemma-3-27b-it,signal-mid,20,completed_artifact_evidence,1,1,runs\s3_cross_topic\football\gemma\signal-mid-r20,2026-06-18T07:48:39+00:00,2026-06-18T07:49:28+00:00,artifact_evidence posts=8 traces=30
bolivia-gemma-signal-mid-r20,bolivia,gemma,deepinfra,google/gemma-3-27b-it,signal-mid,20,completed_artifact_evidence,1,1,runs\s3_cross_topic\bolivia\gemma\signal-mid-r20,2026-06-18T07:49:47+00:00,2026-06-18T07:55:52+00:00,artifact_evidence posts=6 traces=34
ipc-gemma-signal-mid-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,signal-mid,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\signal-mid-r20,2026-06-18T07:55:52+00:00,2026-06-18T08:01:07+00:00,manifest_real; corrected after auditor accepted existing-prepared manifests
bolivia-gemma-baseline-control-r20,bolivia,gemma,deepinfra,google/gemma-3-27b-it,baseline-control,20,completed,0,0,runs\s3_cross_topic\bolivia\gemma\baseline-control-r20,2026-06-18T08:02:16+00:00,2026-06-18T08:03:11+00:00,manifest_real
ipc-gemma-baseline-control-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,baseline-control,20,completed,0,0,runs\s3_cross_topic\ipc\gemma\baseline-control-r20,2026-06-18T08:03:11+00:00,2026-06-18T08:03:25+00:00,manifest_real
football-llama-baseline-control-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,completed,0,0,runs\s3_cross_topic\football\llama\baseline-control-r20,2026-06-18T08:05:28+00:00,2026-06-18T08:10:09+00:00,manifest_real
football-llama-signal-mid-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,completed,1,1,runs\s3_cross_topic\football\llama\signal-mid-r20,2026-06-18T08:10:09+00:00,2026-06-18T08:10:27+00:00,manifest_real
bolivia-llama-baseline-control-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,completed,0,0,runs\s3_cross_topic\bolivia\llama\baseline-control-r20,2026-06-18T08:10:27+00:00,2026-06-18T08:14:23+00:00,manifest_real
bolivia-llama-signal-mid-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\signal-mid-r20,2026-06-18T08:14:23+00:00,2026-06-18T08:14:56+00:00,manifest_real
ipc-llama-baseline-control-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,completed,0,0,runs\s3_cross_topic\ipc\llama\baseline-control-r20,2026-06-18T08:14:56+00:00,2026-06-18T08:19:15+00:00,manifest_real
ipc-llama-signal-mid-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,completed,1,1,runs\s3_cross_topic\ipc\llama\signal-mid-r20,2026-06-18T08:19:15+00:00,2026-06-18T08:19:36+00:00,manifest_real
